Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Cover_Type
3309,9,816,34,2171,197,231,864,0
3151,17,162,32,3272,172,222,1574,1
2941,11,192,18,3590,239,229,2074,1
3332,16,576,99,4430,218,251,2391,0
2508,15,67,15,247,207,206,1409,5
2965,11,30,3,4101,208,219,5426,1
2777,16,108,28,2185,207,205,990,1
2984,18,180,44,3264,167,235,1273,0
2975,4,270,30,4562,209,240,5740,1
2971,18,85,5,2932,174,215,1959,0
3206,16,67,10,4478,245,225,3619,0
2896,13,30,3,4975,201,252,1282,1
2968,9,150,22,3114,211,249,1237,1
2797,25,524,233,1337,213,177,870,1
2724,5,134,5,1243,228,238,721,1
3096,31,212,34,2547,178,159,4279,0
3117,4,330,2,1298,224,241,2139,0
3103,8,366,19,5201,206,227,1345,0
3078,17,604,43,3173,183,251,1908,1
3042,22,558,122,2118,172,252,1237,1
2802,12,153,36,2151,229,215,674,1
3446,15,883,97,3406,226,247,1209,6
2090,29,90,38,999,164,174,518,2
2692,11,42,-4,1650,239,226,1460,1
3332,14,150,40,2810,192,251,934,0
2987,10,270,65,1557,192,237,1445,1
2828,15,450,-17,1423,215,251,785,1
2946,6,175,16,3620,231,234,2067,1
2732,12,30,0,2202,225,247,841,1
2518,6,0,0,467,218,226,5702,1
2724,31,60,18,2994,219,239,1910,1
3237,12,990,46,3886,190,224,2442,0
2820,21,30,5,4269,162,214,569,1
3414,17,488,190,2096,211,201,1931,0
3000,14,124,30,2502,181,239,957,1
2743,24,247,140,1559,252,209,1026,1
2959,19,882,164,2654,175,250,1348,1
2592,11,309,1,895,227,245,127,1
3153,10,242,53,5440,212,219,361,0
3297,29,342,91,787,200,249,960,0
3119,9,285,10,4114,213,222,1919,1
2678,19,42,16,1947,182,206,2755,1
3167,18,270,19,5405,211,199,2391,1
2982,11,402,66,4718,235,221,6292,1
3217,13,210,33,90,183,231,1744,0
2218,24,60,24,1489,250,219,488,5
2933,15,175,89,908,230,207,1772,1
2438,18,180,61,480,179,212,1082,1
2968,12,582,28,2866,225,247,2322,1
2632,5,120,-7,1110,217,244,812,2
2516,11,150,42,342,194,227,1530,5
2990,6,30,1,2820,217,226,1661,1
3055,26,335,52,2420,193,253,3034,1
3182,18,268,51,1784,180,251,2122,0
3086,15,150,27,1806,210,252,277,1
3026,14,190,51,1231,222,209,481,0
2943,15,552,124,1410,210,208,2717,1
3214,9,626,59,1172,223,221,2624,1
2886,8,295,29,3984,234,229,6382,1
3168,8,212,12,4871,233,237,1398,0
3102,11,120,-2,1668,189,231,914,0
3172,12,30,5,1064,225,214,741,0
2588,14,201,58,912,230,211,1187,1
2837,17,543,163,571,232,202,2429,4
2959,10,108,27,4943,223,218,6186,1
3171,9,67,5,1282,194,238,1189,0
3074,16,30,0,1771,227,205,2989,0
2911,34,454,265,1357,107,215,1691,1
3205,20,350,82,3872,215,191,2958,1
3364,11,162,33,552,224,217,912,1
2855,7,190,7,1233,221,224,2300,1
2728,5,361,-29,1535,206,236,1392,1
3218,9,601,74,6324,218,221,1332,0
3070,7,67,9,5563,203,243,2203,1
2719,5,90,10,1820,222,244,4183,1
3316,14,693,114,2777,212,252,1248,0
3307,3,108,0,5460,217,233,604,0
2572,23,60,17,1148,215,182,1106,1
3054,9,553,187,6408,232,223,3780,1
3171,8,30,0,4975,233,229,2317,0
2762,8,240,38,2761,229,242,2363,1
3001,5,391,83,2584,227,240,1652,1
3023,7,335,56,4879,232,229,1557,0
3010,22,212,43,4876,240,192,2787,1
3149,17,430,131,4705,211,201,2133,0
3359,7,150,70,4156,224,225,3931,6
3017,7,277,46,2513,212,225,2501,1
2751,13,540,-34,618,194,217,655,1
2240,18,42,8,1624,171,223,765,5
2848,21,134,45,4537,160,220,361,1
2956,7,192,-5,5680,204,244,2024,0
2932,14,67,16,319,191,250,1299,1
2989,8,170,20,2559,225,224,1702,0
3344,8,240,32,1448,199,234,1888,0
2962,19,180,19,350,248,214,1237,0
2817,24,361,54,1902,252,202,2058,1
2247,25,90,55,182,156,196,601,1
2902,32,170,61,828,176,249,351,1
3222,19,1061,415,1595,177,208,837,0
3219,13,571,143,1243,216,210,1892,1
2896,24,30,14,2718,252,202,1868,0
2321,26,42,12,1208,165,185,277,2
2765,17,242,50,1158,222,201,2190,1
3063,16,537,85,6164,172,233,1605,1
2965,10,330,52,4678,207,220,2769,1
2398,27,150,55,624,224,172,457,5
3084,6,150,7,190,203,237,1963,0
3451,17,30,5,3268,238,204,2525,6
3298,25,234,66,2563,253,203,2656,0
2914,9,319,59,3378,233,224,2790,1
3088,6,362,93,2649,204,240,1687,1
3079,7,212,39,124,212,226,947,1
3168,9,641,55,3503,218,220,3636,0
2466,14,319,145,376,179,233,391,2
2949,13,150,36,4491,241,232,1766,1
2614,17,361,29,968,182,250,1687,1
3111,14,134,29,3841,203,212,2001,0
3228,10,256,34,3005,192,239,1003,0
2315,25,90,43,1140,140,224,731,5
3430,13,384,81,2999,216,210,1308,6
2873,6,85,0,2739,209,245,402,0
2918,6,240,39,1956,229,230,1289,1
2698,12,95,25,108,209,215,2722,1
3093,17,108,10,2964,237,205,5646,0
2317,31,228,-25,362,225,235,618,2
2975,19,379,118,2858,173,248,700,1
2879,13,216,26,2938,231,212,2630,1
3080,15,30,2,811,240,235,1974,0
2937,18,390,83,3127,169,224,1931,0
3191,2,212,16,3645,222,234,4534,0
3001,10,210,56,3094,197,227,1325,0
3047,5,630,161,5886,215,245,5235,1
2886,21,212,81,2577,228,245,1276,1
3116,11,400,-32,6241,200,250,1355,0
2924,7,153,25,1142,224,225,2314,1
3167,19,495,-27,886,248,223,1440,0
3202,7,228,22,2037,230,229,1842,0
2945,6,124,0,5520,206,231,2135,0
2872,11,127,2,1324,217,216,2162,1
3094,10,518,35,420,230,243,1221,1
2932,10,60,10,4117,233,223,5089,1
2966,12,240,97,2914,186,239,2471,1
3083,10,499,43,5136,191,234,666,1
3405,8,1101,199,1203,197,241,1978,0
2363,15,0,0,67,239,211,242,5
2651,27,134,74,2251,161,185,2314,1
2985,8,0,0,3899,234,230,5367,1
2478,30,268,113,661,231,163,703,1
3022,19,1044,153,2613,217,195,1206,1
2739,13,300,65,330,234,214,2264,4
3097,23,408,27,2447,166,199,2280,1
3018,7,361,34,4152,204,233,1511,1
2739,15,67,17,3034,186,216,6279,1
3069,9,192,33,1485,236,234,2639,1
2470,15,108,27,671,243,231,836,1
3060,10,134,-9,2161,222,247,3799,0
2999,8,391,55,212,199,243,1406,1
2661,21,108,25,175,188,193,745,1
3185,10,95,13,2793,231,221,5300,0
3104,25,390,34,4901,213,177,2588,0
2923,18,488,118,2704,215,196,1539,1
2482,33,60,6,644,207,241,1101,1
2948,14,560,71,569,223,208,1090,0
3437,14,524,42,2651,225,248,1706,0
2933,9,175,27,3438,229,243,1691,1
2885,13,90,8,537,232,213,1736,1
2384,25,255,77,924,250,194,892,2
3126,10,95,14,5295,228,219,3095,1
3000,6,589,68,2059,216,245,2440,1
3031,6,242,11,4347,209,231,1176,1
3106,21,778,190,4288,237,193,3976,0
3214,10,175,16,2846,236,227,5063,0
2762,24,124,31,953,199,181,977,0
3175,17,153,49,3141,246,222,3655,0
2727,16,42,3,1952,242,212,277,0
2130,31,85,27,781,123,230,234,2
2784,13,210,23,1410,223,210,1065,1
3155,29,234,78,3798,254,200,2374,0
2627,12,277,58,1265,187,235,1302,1
3346,15,516,97,4526,222,249,2543,0
2847,14,228,56,3502,210,208,5842,1
2977,30,234,87,2132,207,245,1209,1
2932,10,60,3,1805,233,240,495,1
2601,14,376,130,582,180,242,524,1
2959,6,418,14,4390,202,239,5716,1
2997,18,162,56,1290,184,209,2259,1
2620,17,255,-16,420,233,202,1170,1
2836,22,85,29,4669,251,211,150,1
2910,15,170,33,3088,244,225,1610,1
3155,15,162,28,4253,237,209,3669,0
3083,5,480,-25,6391,207,241,2854,1
3227,17,433,95,735,247,222,5504,0
3219,9,218,16,1766,221,221,1374,0
2926,10,30,4,785,236,237,1288,0
3280,10,162,3,3755,233,221,3920,6
3151,12,175,20,450,201,251,5072,1
2763,10,484,-24,713,208,219,853,1
3134,14,391,20,2954,204,210,2940,1
2944,6,30,4,1872,230,234,511,0
2966,32,335,124,1519,121,194,1050,0
3260,13,474,55,3231,242,228,4502,0
2447,15,150,13,541,236,240,1448,5
2987,13,190,-20,2385,197,218,1320,0
3356,7,270,41,1460,200,235,1983,0
2218,38,361,179,751,230,140,792,2
3015,12,85,-8,2130,186,231,750,1
3206,6,426,24,4992,230,231,2316,1
3202,9,42,7,4227,195,233,2250,0
2527,14,258,39,955,242,232,1116,2
2419,16,212,-1,1087,180,218,108,5
3181,14,446,105,812,196,215,1842,1
3274,10,95,12,4671,199,227,854,0
3332,11,180,0,853,237,225,3704,1
2450,16,335,123,1565,175,228,421,5
2952,16,339,36,4727,204,205,3932,0
2822,29,420,184,918,238,172,741,1
2123,37,285,228,350,95,211,390,2
2765,19,42,10,3630,170,217,5671,0
2743,14,524,61,524,229,211,1222,1
2113,29,67,2,391,206,164,794,2
2975,14,488,89,1584,223,249,1827,1
3347,12,430,105,3034,202,217,2200,6
2377,21,247,71,1153,167,209,1351,5
2953,18,124,39,2190,197,200,1626,0
2709,15,351,113,1509,199,210,2618,1
3287,8,95,20,5850,197,239,600,0
3007,24,384,57,2953,166,195,534,0
2802,6,376,24,2177,230,238,1895,1
3173,8,42,1,1276,231,240,2471,0
2886,17,124,33,1411,247,218,2281,1
3170,10,330,70,2620,211,219,1632,0
2804,10,42,0,3463,236,236,6141,1
3146,22,418,120,1020,187,190,1480,0
3147,4,300,13,4385,221,230,1889,1
2938,22,636,116,1511,214,186,2790,1
2240,28,242,192,430,156,181,362,2
3087,10,0,0,2223,237,227,3369,0
3239,4,513,64,342,209,236,967,1
2509,9,30,6,1493,206,222,1516,5
3032,21,524,217,543,236,194,849,1
2562,9,90,17,600,233,223,1140,1
2988,15,162,24,573,181,223,984,1
2698,12,67,9,1889,239,233,5675,1
3280,19,153,-1,1800,229,197,2711,0
2565,14,216,41,1224,240,215,1209,2
3019,16,255,64,2346,246,225,765,1
2251,32,551,-78,700,141,245,899,2
3209,5,242,25,450,206,238,1411,0
2840,2,67,0,607,216,235,485,0
3367,5,552,28,960,226,230,2403,6
3045,15,0,0,1718,178,243,301,0
3079,7,90,6,3630,221,224,1542,1
3165,20,976,110,2866,195,194,2320,1
3098,11,0,0,2058,197,248,579,0
2896,15,85,9,3314,242,215,2448,1
2611,29,30,12,1920,183,168,7039,1
3148,12,85,15,1012,230,244,2116,0
2897,16,234,-30,655,228,205,2110,1
3283,11,228,25,1621,239,231,2290,0
2798,2,255,20,2300,214,238,1958,1
3261,21,309,112,3039,197,254,847,0
2955,16,430,49,5583,184,250,4851,1
3344,9,268,45,3570,196,240,2067,0
3220,16,646,296,1739,240,209,2862,0
2722,4,153,11,1698,223,241,4250,1
3223,10,361,32,5842,231,242,3204,1
2968,12,150,-18,3829,229,215,1422,1
3196,11,247,-10,771,214,250,2233,1
3250,9,454,115,480,200,247,2525,1
3263,28,212,71,1084,133,231,2389,1
3207,20,1001,4,1543,170,208,959,0
3281,15,742,205,618,231,208,1116,0
2896,8,361,64,690,229,226,1438,1
2904,17,255,79,277,184,212,1434,1
3346,22,595,199,1400,169,250,4154,0
3295,5,366,195,4146,226,240,1283,1
2929,2,433,9,5376,217,234,2173,1
3053,19,216,33,1026,220,194,2173,0
2978,16,589,109,2372,206,203,2114,1
2797,15,30,2,2434,182,221,1341,1
2994,10,285,45,2065,234,221,787,0
3393,10,153,15,2588,231,221,2377,6
2980,8,309,51,1890,229,224,1822,1
2675,14,268,41,323,208,211,458,1
2955,15,90,26,2190,179,229,2234,0
3198,16,351,3,850,219,203,1134,1
2969,6,0,0,1273,218,245,391,0
3185,6,175,38,2888,206,243,1073,1
2227,28,283,143,450,131,220,492,2
3218,3,124,5,6034,224,238,902,0
2952,10,0,0,577,231,220,2418,1
3321,22,390,31,3553,241,192,1670,0
2849,25,335,163,1699,223,176,900,1
2958,10,120,28,2654,195,246,457,1
3285,14,170,52,3931,243,221,3972,6
3091,11,0,0,2731,238,234,3485,0
3116,10,0,0,4028,192,234,1727,0
2909,11,511,33,3013,236,220,2032,1
2077,20,242,167,268,163,222,525,2
2940,12,108,17,2173,203,218,2092,1
3139,4,297,4,4198,223,230,1841,1
3299,17,67,7,4609,221,250,3083,0
2437,25,85,13,1209,145,236,858,5
3212,20,330,102,1570,203,254,2333,0
3253,21,384,108,1146,203,254,4484,1
2714,15,390,18,1519,245,225,966,2
2599,14,170,41,376,187,220,1802,1
2989,15,466,-70,983,201,209,1956,1
2795,20,95,29,2071,249,221,1126,4
3208,10,547,53,1188,208,219,2516,0
3376,8,162,27,2778,231,226,1614,6
2915,10,212,57,1731,202,223,2516,1
2922,8,127,6,4739,227,223,3520,1
3139,8,134,44,4593,202,229,1388,0
3207,15,607,43,2033,182,222,2352,0
2927,22,175,80,5350,239,236,534,1
2634,6,339,101,569,231,231,1608,2
3210,14,42,2,3050,208,209,4127,0
3430,3,228,3,1952,216,242,3535,0
2677,21,30,8,1403,218,189,1323,1
3109,14,190,9,3731,232,211,3871,0
2780,21,524,264,1048,206,189,794,1
2682,8,30,-5,150,220,221,2679,1
3330,18,210,77,741,247,213,1084,1
3178,7,175,3,3610,231,231,4607,0
3103,7,150,-2,7003,233,235,2550,1
3211,16,418,45,648,178,220,1860,0
3083,16,300,88,3928,215,203,5033,0
3004,9,331,22,5931,215,221,3635,1
2678,21,390,168,949,167,206,601,5
2938,7,330,83,592,233,230,934,1
3283,14,120,31,4595,179,236,808,0
2832,11,240,32,2219,228,245,2147,4
2710,6,272,11,30,217,227,716,4
3091,12,240,21,4910,230,215,1050,1
2950,15,457,98,716,231,208,1798,0
2979,10,376,34,5237,237,229,1898,0
2916,19,60,29,1783,163,233,2742,1
2509,5,218,8,201,212,229,2888,1
2784,4,234,13,2335,210,242,1783,1
3155,9,446,29,3565,234,226,3762,0
3139,8,85,7,3475,234,235,4943,0
3098,15,680,317,1129,195,213,1263,0
2379,7,492,137,1482,206,231,732,2
2988,12,201,26,5559,224,247,2230,0
3138,5,30,2,693,211,243,2400,0
3080,21,42,14,1889,156,229,408,0
3210,5,42,2,2279,209,244,3013,0
3118,4,366,72,5018,226,233,700,1
3093,6,0,0,5178,209,231,732,0
2939,6,297,49,3182,225,227,1959,1
2310,12,234,91,319,186,239,598,1
3310,14,824,194,1359,193,215,1704,6
2896,25,120,19,210,231,180,361,0
2194,32,108,105,212,122,188,558,2
3216,13,503,58,1253,229,213,1801,0
2802,34,240,89,3130,143,159,1706,1
3040,5,30,1,4230,220,229,2451,1
2929,10,503,20,4843,238,227,3088,0
2823,11,182,2,908,200,250,306,0
3194,10,162,56,730,230,243,2405,1
2589,10,474,22,1385,221,217,1666,4
3041,4,720,155,5778,226,236,5275,1
3062,1,190,53,1831,217,236,1503,0
2954,21,849,577,927,160,242,2148,1
2995,10,510,69,5249,226,218,6351,1
2890,24,108,59,5401,145,218,4817,1
3202,15,150,19,1265,205,206,750,0
2744,23,42,14,3464,249,223,1476,1
2867,9,324,47,2213,236,232,2794,1
3345,14,150,22,1566,243,223,3319,0
2846,15,60,12,1455,196,210,2563,0
3007,6,552,58,2764,229,237,1473,1
2821,9,277,59,3516,237,230,5791,1
3085,23,503,164,3020,153,238,2393,1
3197,4,162,-19,2589,218,230,2482,0
3326,4,0,0,1425,226,237,3477,1
3184,21,300,90,2532,165,209,811,0
2886,6,192,24,3102,216,227,2676,1
3021,11,350,-12,6491,236,238,3576,0
2924,13,430,99,2812,224,212,3195,1
2897,20,127,33,1543,160,228,1298,1
3094,15,124,15,5040,245,222,955,1
3208,3,60,-7,4773,225,236,1777,0
2998,19,270,46,4226,197,199,2067,1
3148,7,30,1,2851,200,239,940,0
2849,6,360,55,2151,228,230,1601,1
2801,10,234,43,3872,230,243,5438,1
2879,18,553,149,270,199,201,1146,1
3241,23,573,125,2687,252,210,2754,0
2925,19,120,-23,2163,206,254,1956,1
2105,30,247,41,417,253,186,800,2
2560,22,362,42,990,192,191,1668,1
3255,11,297,57,2812,204,250,1136,0
3108,26,30,10,3868,219,175,934,0
2879,11,446,83,2684,221,215,3302,1
2589,13,0,0,1379,190,224,899,1
2587,13,480,39,534,210,212,2717,1
2916,6,180,-2,4022,226,228,5285,1
2764,13,90,9,1230,219,210,792,1
2666,15,210,49,997,231,207,607,1
3236,9,120,34,2654,220,247,2670,6
3242,8,576,92,2590,210,224,3445,0
3084,7,541,52,1053,202,234,1142,1
2908,16,0,0,513,228,204,1824,1
2959,16,579,180,825,245,223,1328,1
3162,16,636,-44,470,214,252,1862,1
2325,11,270,101,866,188,241,30,2
3331,11,726,2,764,224,247,4558,0
3219,15,408,105,5009,224,206,2885,1
2308,25,366,195,997,159,248,488,3
2598,21,633,197,938,236,194,1001,2
2991,12,42,4,1082,217,214,2054,1
3264,29,258,84,5451,214,163,1299,1
3128,9,228,13,1209,230,242,1947,0
2949,9,127,30,4476,215,221,5583,1
3150,23,150,47,2845,210,251,1099,0
3304,18,658,139,4290,169,239,2486,0
3006,11,218,43,1559,237,222,1879,1
2398,11,228,62,560,239,230,1374,5
2997,19,170,48,1020,249,220,459,1
3044,12,30,11,4648,228,215,1103,1
3436,1,569,107,1294,215,238,3890,0
3155,17,30,0,2871,228,201,5381,0
3041,8,150,16,5523,198,240,2100,1
2606,35,124,79,841,236,153,912,1
2957,21,216,64,5160,199,254,1101,1
3127,10,661,90,1879,235,238,882,1
3027,20,594,9,4245,224,194,3178,1
3227,14,277,46,1747,243,226,1383,0
3070,13,591,-52,4157,241,223,4696,1
2873,18,134,41,1266,246,213,2469,1
3134,11,95,5,2333,188,234,765,0
2529,10,0,0,1552,230,220,4481,1
2917,7,162,13,4055,233,236,4186,1
3277,12,589,152,3651,189,243,2022,1
2549,28,351,63,850,158,250,1074,2
2901,17,120,22,1812,175,220,1392,1
3080,24,85,30,2524,203,252,1032,1
3044,23,67,25,2132,164,202,3331,0
2602,24,42,16,1400,157,247,1381,2
3140,8,268,10,696,232,228,2333,0
2677,2,390,7,1429,219,240,5808,1
3076,7,300,18,5127,214,226,2639,0
3261,26,618,-12,636,153,195,3114,1
2550,23,300,86,582,197,184,384,1
2494,4,228,21,570,217,231,1445,2
2700,5,360,-10,994,228,231,1728,1
2964,7,85,18,1917,233,233,983,0
2824,3,30,0,1015,213,235,1290,0
2945,9,218,29,5208,218,248,1785,1
3145,16,150,39,2137,177,223,594,0
3223,11,30,0,2424,237,223,492,6
3107,39,218,31,1082,159,129,1578,1
2761,19,95,15,2376,162,228,331,0
2937,16,618,221,3013,194,208,1617,1
3202,4,443,44,6000,219,243,2372,0
3310,8,85,-1,5493,228,224,859,0
3025,13,755,42,2965,229,245,2395,1
3158,13,150,24,875,231,244,2197,0
3158,13,331,104,3606,198,216,1651,0
2949,8,446,59,4306,205,229,5716,1
2682,13,384,-31,742,224,211,134,1
2989,20,127,7,1543,243,201,1430,0
3168,21,335,59,5057,223,190,3029,1
3314,2,510,100,1003,219,235,2611,1
3052,6,60,5,4293,225,228,2424,1
3153,17,234,75,192,244,230,2543,0
2704,3,0,0,1158,211,237,1974,1
2836,24,210,114,1932,248,194,618,4
3146,24,376,79,1772,148,217,3312,0
3033,15,60,-4,3384,224,207,1426,0
3171,9,570,86,966,196,241,912,1
3126,9,134,12,1262,201,247,1747,1
3130,20,42,2,2797,186,254,454,1
2897,15,309,-78,1129,181,227,576,1
2045,27,234,66,390,209,169,433,2
2929,9,216,14,3894,216,222,5501,1
3170,16,499,-9,2029,212,252,1950,1
3116,9,300,72,3288,229,221,2979,0
2486,12,95,17,67,226,213,417,1
3330,12,488,101,3381,196,250,1374,1
3006,5,240,67,2378,207,235,2429,1
2830,12,124,29,2099,194,248,2833,0
2806,27,134,40,1868,145,243,1605,1
2778,15,212,50,1485,188,214,2096,1
3146,6,210,66,2958,228,229,1041,1
3018,11,570,48,2750,240,229,2577,1
3165,13,201,25,2044,197,217,2942,0
3311,14,700,140,2597,203,212,2183,6
2501,8,268,8,1036,229,226,4179,1
2313,29,295,101,1121,129,204,853,5
3177,13,330,36,2283,205,214,1486,1
3080,9,218,-38,2041,221,247,3734,0
2791,8,268,31,1533,210,224,1273,1
2386,10,30,0,633,236,227,618,5
3362,11,242,40,2040,230,218,3463,6
3292,16,234,-20,3136,239,208,1932,6
2977,19,488,171,503,239,237,1209,0
2607,7,285,107,1364,226,242,1410,1
2829,10,150,18,1233,203,222,2832,0
2695,15,192,5,977,193,212,2330,1
3050,18,0,0,6614,224,198,2992,1
3115,7,85,4,1464,210,228,1262,0
2693,20,30,7,1132,250,218,2071,1
3186,15,67,-23,834,220,207,2032,0
2901,19,446,69,2362,177,251,510,0
2968,31,182,17,1599,183,250,1062,1
3125,13,469,77,1233,184,229,1165,0
3191,8,42,4,5410,210,224,1008,0
3024,10,360,57,4926,230,219,1574,0
3090,7,0,0,6186,214,247,2385,0
2695,14,30,7,1653,199,214,1276,0
2074,31,90,52,297,209,156,285,5
3071,35,446,93,323,145,155,1113,0
2143,32,67,32,966,254,187,319,3
3037,10,170,19,3142,237,233,384,1
3202,16,457,76,525,195,208,1645,0
2866,20,95,-19,1891,173,250,1452,4
2587,9,90,9,960,226,221,779,1
3208,8,42,-3,2896,216,223,2764,0
2632,16,283,26,2678,209,205,2585,1
2954,8,162,21,4429,229,242,4636,1
3011,1,313,35,5237,217,236,1273,1
3260,11,108,0,3212,210,217,2697,6
3262,12,488,75,4357,192,225,990,0
3237,11,127,5,4592,224,247,2575,0
2845,10,90,18,960,226,218,242,4
2906,13,170,7,1082,240,220,2265,1
2710,24,124,53,2017,235,238,2787,1
2978,13,350,29,4368,237,215,4096,0
3173,25,85,28,2538,212,249,1233,0
2995,16,816,197,2946,190,212,960,1
2806,23,417,182,1230,176,191,642,1
2410,6,180,72,1209,206,233,849,2
2837,15,443,107,120,203,209,1026,1
3014,8,330,-5,1560,214,223,1090,0
2982,12,216,30,4612,237,221,5625,1
2669,9,60,4,1465,227,221,1104,1
2997,14,648,49,2885,239,236,2389,1
3150,11,60,-3,2941,224,215,3553,0
2960,9,514,20,2784,234,238,2404,1
3315,9,480,20,1060,217,248,1173,0
3102,25,541,95,5962,151,205,1663,1
2906,22,30,-5,4986,231,190,295,1
3282,10,120,2,4134,205,222,1634,0
3316,8,690,115,759,198,241,949,0
3205,8,85,0,3112,234,231,4830,0
3056,11,255,46,1660,203,250,1530,0
3073,21,636,23,3450,164,210,1692,1
3205,13,272,33,4575,187,246,1565,0
2375,14,192,5,424,236,213,722,2
3011,13,201,36,2879,242,227,6598,0
2959,9,408,50,5940,219,248,5379,1
2890,12,162,35,3734,240,228,5712,1
3096,19,192,-19,808,241,203,1176,0
2844,27,295,102,3632,143,197,1195,1
3256,20,402,93,1588,162,220,3031,0
2078,31,150,51,391,235,227,674,2
3387,12,722,222,1506,228,245,1150,0
3058,13,525,93,1426,193,250,495,1
2907,7,212,22,1233,202,241,1754,1
2937,6,162,10,4660,230,231,4367,1
2750,4,272,17,2483,225,233,5669,1
2985,14,541,49,4441,181,237,4983,1
2920,11,350,89,2863,238,235,3173,1
2720,7,242,53,1112,203,230,1921,1
2599,14,234,31,2724,214,252,2096,1
3194,12,339,43,2979,201,217,755,0
2856,27,300,-73,408,239,179,2029,1
2929,10,295,16,4636,207,220,4092,1
3152,12,108,4,270,224,247,1443,0
3328,13,124,17,4271,242,222,3755,0
3354,10,242,5,3153,228,219,1638,6
2565,18,153,43,1173,242,235,1771,2
2808,2,30,0,658,215,239,2429,1
3338,14,566,132,1323,233,243,2062,0
3047,22,513,12,3021,180,254,1797,1
2867,7,42,-2,2886,224,225,2197,1
2998,25,301,131,6185,253,203,4076,1
3257,20,510,152,3593,175,204,3515,6
3143,28,212,-12,932,238,175,1199,0
3151,9,108,9,4281,227,221,3520,0
2009,24,190,0,175,241,187,175,2
3194,1,582,-26,5321,219,235,2101,0
3259,2,67,1,6303,223,236,210,0
2623,22,95,15,1523,173,198,1273,1
3198,16,67,-4,1664,237,207,2476,0
3389,12,306,77,1548,229,245,2951,6
2788,13,228,89,3469,242,225,5856,1
2742,18,258,71,268,235,201,2095,4
2613,19,323,13,497,222,249,1113,2
3178,5,366,74,4186,207,242,1034,1
3004,10,192,29,5232,212,219,3899,0
2563,14,30,0,1320,223,249,1465,2
2935,19,124,32,1218,208,253,547,1
2747,12,361,151,2827,232,243,1290,2
3122,11,201,37,2163,223,247,190,0
2855,19,30,6,866,166,222,1233,1
3391,1,469,42,1920,218,235,2469,6
2870,34,268,111,2489,115,230,713,1
3282,7,192,20,4709,209,228,888,0
2614,20,234,95,1399,237,196,1785,5
2998,17,120,23,1842,243,211,3660,0
3078,8,781,37,1061,199,238,927,1
3085,16,751,44,1082,175,235,942,1
3302,16,511,157,1146,214,252,4409,1
2894,12,85,9,2368,230,244,2652,1
3156,5,162,25,3120,205,237,806,1
2996,13,30,7,908,236,216,2733,1
2808,15,120,3,2439,180,226,2559,0
3211,8,541,39,4308,234,232,1831,0
3160,10,309,123,2201,204,223,1082,0
3225,19,379,48,2577,202,254,1082,0
3022,15,212,53,2192,245,224,2419,0
2836,11,201,2,2934,224,215,4334,1
3113,18,108,15,3573,192,204,3091,0
3529,29,242,117,3173,132,202,1511,0
3050,8,60,-1,1664,224,222,3017,0
2736,13,150,56,1585,183,231,2164,4
2774,13,430,-13,759,201,216,815,1
2886,11,323,0,932,239,232,2561,1
3222,18,636,136,3035,227,197,1894,0
3182,18,942,-87,4202,206,253,1475,1
3033,12,150,18,3078,239,233,450,1
2827,26,201,0,2603,156,248,277,0
2902,13,134,45,2673,183,230,904,1
3204,20,324,57,4137,195,196,960,0
2692,13,30,-2,1470,240,218,700,1
2846,10,90,35,90,199,227,1296,0
2349,21,242,152,1560,164,210,953,2
3039,22,400,146,2136,251,217,1426,1
2867,17,108,9,2919,175,217,2724,1
3230,12,30,2,3811,217,214,1521,0
2811,16,433,123,443,230,203,2557,1
2475,26,150,56,684,220,175,721,1
3267,8,150,-26,4184,233,227,2166,0
3078,25,488,18,1237,186,181,2120,1
2997,17,787,128,2435,198,204,1501,1
3008,11,404,105,4319,239,228,4834,1
3278,9,481,94,417,195,234,1471,0
3148,9,630,131,1698,218,220,2584,0
2521,15,90,14,979,181,244,1077,1
2848,5,182,39,1776,220,229,2250,1
2407,20,277,129,382,188,198,1024,1
2684,27,127,13,2687,227,172,1087,1
3082,7,258,71,1677,210,226,2142,0
2933,11,633,73,1126,231,217,1513,1
2767,12,90,14,3055,195,221,2952,0
3267,13,524,132,537,196,251,2446,1
3167,16,242,39,2741,177,225,706,0
3072,13,300,10,272,209,252,1293,1
2589,11,192,57,849,239,230,3479,1
2603,16,361,26,1406,222,203,4214,1
2838,8,808,66,2222,214,247,1681,4
3101,11,480,-16,2460,213,250,1600,1
2893,9,228,2,1906,229,222,1452,4
2809,16,376,54,1040,179,221,1106,1
2988,14,313,49,6110,226,209,3904,0
2756,33,175,89,1370,251,202,841,1
2975,17,582,106,2362,211,202,2084,1
2788,23,201,69,2431,154,212,1928,1
2938,30,240,134,1986,127,199,1173,1
2836,13,30,0,1691,224,212,2514,1
2625,21,67,21,1861,164,210,2748,5
2972,30,342,-53,1775,159,172,1482,1
2959,6,180,0,3671,204,239,6078,1
2682,10,306,25,342,216,219,816,1
2962,14,618,47,2753,205,210,1440,1
3215,6,626,-35,2784,205,235,90,0
3044,12,60,12,2941,224,214,1276,1
2843,21,511,88,1110,176,201,1144,1
3151,5,212,-26,895,214,230,979,0
